price,accommodates,bathrooms,bedrooms,beds,Elevator in building,Internet,Family/kid friendly,Wireless Internet,Buzzer/wireless intercom,Kitchen,Doorman,Wheelchair accessible,Cable TV,Hot tub,Gym,Pool,TV,Dryer,Washer,Essentials,Shampoo,Heating,Air conditioning,Pets allowed,Suitable for events,Smoking allowed,Indoor fireplace,Breakfast,Laptop friendly workspace,Iron,Hangers,Hair dryer,Private living room,Private entrance,Parking,restaurant,atm,cinema,hospital,nightclub,park,mall,gallery,museum,supermarket,bus_stop,minimum_nights_MN1,minimum_nights_MN2,minimum_nights_MN3,minimum_nights_MN_,number_of_reviews_H,number_of_reviews_L,number_of_reviews_M,number_of_reviews_O,instant_bookable_f,instant_bookable_t,num_page_saved_H,num_page_saved_L,num_page_saved_M,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,bed_type_Other,bed_type_Real Bed,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,property_type_Apartment,property_type_Condominium,property_type_House,property_type_Other,calculated_host_listings_count_M,calculated_host_listings_count_S
97,2,1.5,1.0,1.0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,732.0,2902,2934,2211.0,3602.0,2530,4591.0,15000.0,9239.0,1486,128.0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1
33,2,1.0,1.0,1.0,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,1,845.0,2786,2818,2181.0,3717.0,2515,4583.0,15000.0,9121.0,1599,48.0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1
39,1,1.5,1.0,1.0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,431.0,428,5535,5276.0,783.0,3037,7041.0,15000.0,9332.0,1945,121.0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
45,2,1.0,1.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,653.0,603,5801,5305.0,1057.0,3208,7145.0,15000.0,9608.0,1736,130.0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
69,6,5.0,6.0,6.0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,682.0,667,5734,5201.0,1005.0,3108,7040.0,15000.0,9551.0,1713,144.0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1
45,1,1.0,1.0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,587.0,963,5704,4890.0,1084.0,2918,6772.0,15000.0,9554.0,1410,216.0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1
40,1,1.0,1.0,1.0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,762.0,2866,2897,2148.0,3657.0,2471,4534.0,15000.0,9194.0,1514,102.0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
50,2,1.0,1.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,815.0,816,5815,5120.0,1114.0,3112,6997.0,15000.0,9645.0,1565,128.0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
39,2,1.0,1.0,1.0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,606.0,510,5855,5433.0,1102.0,3314,7267.0,15000.0,9648.0,1665,94.0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0
31,2,1.0,1.0,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,845.0,693,6114,5518.0,1362.0,3513,7413.0,15000.0,9911.0,1417,261.0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1
45,2,1.0,1.0,1.0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,344.0,1340,5358,4613.0,1367.0,2859,6575.0,15000.0,9698.0,1037,97.0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0
54,2,1.0,1.0,1.0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,538.0,1467,5277,4691.0,1582.0,3065,6709.0,15000.0,9936.0,915,140.0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1
39,1,1.0,1.0,1.0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,703.0,725,5535,5004.0,848.0,2874,6816.0,15000.0,9367.0,1664,252.0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0
39,1,1.0,1.0,1.0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,607.0,601,5615,5169.0,883.0,3018,6977.0,15000.0,9430.0,1771,201.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0
39,2,1.5,1.0,1.0,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,0,0,1,686.0,667,5753,5215.0,1022.0,3128,7057.0,15000.0,9569.0,1715,128.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0
50,1,1.0,1.0,1.0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,1,972.0,785,6221,5645.0,1528.0,3682,7323.0,15000.0,15000.0,1244,423.0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1
35,2,1.5,1.0,1.0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,479.0,2492,4430,4516.0,2651.0,3647,6770.0,15000.0,15000.0,511,152.0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
40,1,2.0,1.0,2.0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,297.0,2219,4547,4274.0,2244.0,3190,6452.0,15000.0,15000.0,195,191.0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1
39,2,1.0,1.0,1.0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,669.0,616,5815,5303.0,1072.0,3215,7148.0,15000.0,9623.0,1725,114.0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
